Date,Symbol,Open,High,Low,Close,Volume
2026-01-01,AXISBANK,1270.0,1279.2,1263.8,1274.4,2022412.0
2026-01-02,AXISBANK,1273.9,1281.8,1264.3,1269.0,5841618.0
2026-01-01,AZAD,1653.0,1660.0,1622.1,1625.8,41773.0
2026-01-02,AZAD,1626.0,1656.0,1626.0,1655.0,62208.0
2026-01-01,BAJAJ-AUTO,9365.0,9585.0,9318.5,9558.0,306936.0
2026-01-02,BAJAJ-AUTO,9550.0,9633.0,9310.5,9499.0,729028.0
2026-01-01,BAJAJELEC,476.0,479.7,473.3,474.7,26416.0
2026-01-02,BAJAJELEC,474.9,480.0,473.0,479.65,31846.0
2026-01-01,BAJAJFINSV,2045.0,2048.8,2027.8,2037.0,270917.0
2026-01-02,BAJAJFINSV,2030.1,2050.0,2026.6,2039.5,891500.0
2026-01-01,BAJAJHFL,94.5,97.29,94.41,96.11,8661687.0
2026-01-02,BAJAJHFL,96.5,96.8,95.6,96.56,5909398.0
2026-01-01,BAJAJHLDNG,11350.0,11438.0,11220.0,11342.0,37154.0
2026-01-02,BAJAJHLDNG,11342.0,11342.0,11072.0,11195.0,58787.0
2026-01-01,BAJFINANCE,988.2,989.0,969.0,973.1,7118751.0
2026-01-02,BAJFINANCE,972.9,994.2,960.6,990.55,6178104.0
2026-01-01,BALAMINES,1118.8,1128.0,1104.3,1109.7,27820.0
2026-01-02,BALAMINES,1114.6,1119.8,1106.0,1115.0,30824.0
2026-01-01,BALKRISIND,2315.1,2337.9,2305.0,2316.3,23501.0
2026-01-02,BALKRISIND,2310.0,2380.0,2310.0,2368.0,81169.0
2026-01-01,BALRAMCHIN,445.0,445.65,437.0,438.3,111969.0
2026-01-02,BALRAMCHIN,438.25,442.6,437.45,439.3,138380.0
2026-01-01,BALUFORGE,605.0,606.45,598.8,600.1,98027.0
2026-01-02,BALUFORGE,600.15,601.8,595.0,597.95,164115.0
2026-01-01,BANCOINDIA,684.5,693.0,681.2,682.6,70734.0
2026-01-02,BANCOINDIA,686.0,718.4,682.1,706.15,491056.0
2026-01-01,BANDHANBNK,146.04,146.43,143.8,144.18,4298978.0
2026-01-02,BANDHANBNK,144.5,145.9,142.65,144.95,8112192.0
2026-01-01,BANKBARODA,296.5,302.9,295.65,300.75,8464712.0
2026-01-02,BANKBARODA,301.0,305.95,301.0,305.8,10231365.0
2026-01-01,BANKINDIA,144.1,147.79,143.51,146.99,7447505.0
2026-01-02,BANKINDIA,147.5,150.3,146.82,149.25,9371593.0
2026-01-01,BASF,3985.0,4019.4,3905.0,3915.5,11232.0
2026-01-02,BASF,3916.0,3945.0,3868.3,3941.5,9191.0
2026-01-01,BATAINDIA,945.0,949.5,942.0,946.7,35424.0
2026-01-02,BATAINDIA,949.45,951.7,943.3,950.5,41710.0
2026-01-01,BAYERCROP,4558.0,4576.7,4525.1,4543.2,6730.0
2026-01-02,BAYERCROP,4564.0,4585.6,4529.9,4549.9,24552.0
2026-01-01,BBL,2677.8,2717.9,2669.0,2675.8,6793.0
2026-01-02,BBL,2670.8,2777.0,2670.8,2749.0,18611.0
2026-01-01,BBTC,1890.0,1895.0,1858.0,1867.6,23537.0
2026-01-02,BBTC,1867.8,1889.6,1863.4,1884.0,28675.0
2026-01-01,BDL,1475.0,1487.0,1446.2,1481.5,819562.0
2026-01-02,BDL,1487.3,1506.0,1477.0,1492.0,1627337.0
2026-01-01,BECTORFOOD,230.4,249.25,228.74,247.22,2877318.0
2026-01-02,BECTORFOOD,247.22,248.99,242.05,247.8,562806.0
2026-01-01,BEL,399.9,400.75,394.6,397.7,6084786.0
2026-01-02,BEL,399.65,405.6,398.95,403.05,10856988.0
2026-01-01,BELRISE,185.21,185.65,182.8,184.07,2288925.0
2026-01-02,BELRISE,184.0,190.1,183.61,184.81,5733395.0
2026-01-01,BEML,1857.9,1864.4,1837.7,1847.4,82086.0
2026-01-02,BEML,1847.7,1885.0,1847.7,1869.0,186070.0
2026-01-01,BERGEPAINT,539.0,539.0,529.3,533.65,206112.0
2026-01-02,BERGEPAINT,536.2,536.2,521.65,523.9,341475.0
2026-01-01,BHARATFORG,1480.0,1480.0,1459.4,1464.4,368504.0
2026-01-02,BHARATFORG,1467.0,1487.9,1462.4,1479.0,1003157.0
2026-01-01,BHARTIARTL,2114.8,2123.9,2107.0,2110.4,2097756.0
2026-01-02,BHARTIARTL,2108.0,2125.0,2098.0,2108.5,2918457.0
2026-01-01,BHARTIHEXA,1800.0,1823.9,1781.0,1810.4,122537.0
2026-01-02,BHARTIHEXA,1822.0,1822.0,1768.0,1800.2,157540.0
2026-01-01,BHEL,288.5,293.3,288.1,291.45,7927074.0
2026-01-02,BHEL,292.7,300.85,291.55,299.65,13814119.0
2026-01-01,BIKAJI,751.9,754.7,733.5,738.4,85886.0
2026-01-02,BIKAJI,741.9,744.4,732.5,735.5,83351.0
2026-01-01,BIOCON,393.0,393.9,386.1,387.75,1345267.0
2026-01-02,BIOCON,387.75,394.75,386.35,394.75,1447243.0
2026-01-01,BIRLACORPN,1060.0,1114.6,1060.0,1110.1,131892.0
2026-01-02,BIRLACORPN,1110.0,1119.0,1093.3,1108.7,107619.0
2026-01-01,BLACKBUCK,681.0,687.5,671.3,674.55,163949.0
2026-01-02,BLACKBUCK,674.55,707.0,672.05,698.85,1744890.0
2026-01-01,BLS,321.9,322.95,316.45,317.1,346196.0
2026-01-02,BLS,316.0,320.0,315.3,318.8,648983.0
2026-01-01,BLUEDART,5612.0,6039.5,5612.0,5676.0,649756.0
2026-01-02,BLUEDART,5676.0,5688.0,5544.0,5590.0,42411.0
2026-01-01,BLUEJET,532.0,532.0,525.1,529.0,82242.0
2026-01-02,BLUEJET,525.55,537.3,525.55,530.0,150552.0
2026-01-01,BLUESTARCO,1738.0,1790.2,1733.0,1772.2,197014.0
2026-01-02,BLUESTARCO,1783.6,1829.5,1751.0,1803.1,589610.0
2026-01-01,BORORENEW,543.75,546.0,537.0,538.95,153921.0
2026-01-02,BORORENEW,540.2,551.1,539.05,548.7,204566.0
2026-01-01,BOSCHLTD,36040.0,36270.0,35755.0,36140.0,6055.0
2026-01-02,BOSCHLTD,36170.0,39600.0,36150.0,39195.0,184931.0
2026-01-01,BPCL,386.4,388.15,379.15,381.5,6554899.0
2026-01-02,BPCL,382.0,385.6,377.9,381.45,3595269.0
2026-01-01,BRIGADE,885.95,900.0,875.8,896.65,80473.0
2026-01-02,BRIGADE,897.95,900.0,881.2,890.85,181908.0
2026-01-01,BRITANNIA,6031.0,6063.0,5992.0,6009.5,138484.0
2026-01-02,BRITANNIA,6009.5,6033.0,5941.5,5988.0,265277.0
2026-01-01,BSE,2640.9,2650.5,2603.0,2628.0,1665389.0
2026-01-02,BSE,2639.0,2672.0,2621.0,2670.0,2187137.0
2026-01-01,BSOFT,434.05,434.7,429.7,432.0,292765.0
2026-01-02,BSOFT,434.0,434.8,428.0,434.6,452159.0
2026-01-01,CAMPUS,261.05,262.95,260.1,261.95,92715.0
2026-01-02,CAMPUS,262.4,262.95,259.5,261.5,163470.0
2026-01-01,CAMS,743.15,744.1,734.0,735.1,335302.0
2026-01-02,CAMS,737.0,758.0,735.7,757.0,770453.0
2026-01-01,CANBK,155.0,156.28,153.55,154.24,18111681.0
2026-01-02,CANBK,154.9,155.67,152.8,155.32,29153469.0
2026-01-01,CANFINHOME,933.7,950.95,922.5,931.45,149358.0
2026-01-02,CANFINHOME,935.9,945.0,912.65,933.15,223983.0
2026-01-01,CAPLIPOINT,1840.1,1871.0,1788.0,1798.9,130326.0
2026-01-02,CAPLIPOINT,1811.0,1866.0,1802.4,1848.0,95593.0
2026-01-01,CARBORUNIV,856.0,865.0,843.1,859.75,78547.0
2026-01-02,CARBORUNIV,855.0,861.25,848.1,858.9,106132.0
2026-01-01,CARTRADE,2795.0,2845.0,2780.0,2829.5,153651.0
2026-01-02,CARTRADE,2811.0,2962.0,2805.0,2891.5,236948.0
2026-01-01,CASTROLIND,193.3,193.45,190.01,190.79,1116643.0
2026-01-02,CASTROLIND,191.0,194.24,190.1,191.1,2640561.0
2026-01-01,CCL,948.0,948.0,905.0,910.35,319456.0
2026-01-02,CCL,912.9,923.5,911.6,915.1,104134.0
2026-01-01,CDSL,1443.7,1452.0,1436.0,1446.2,681478.0
2026-01-02,CDSL,1446.2,1467.8,1440.9,1466.6,1057453.0
2026-01-01,CEATLTD,3820.0,3839.0,3755.0,3774.7,61940.0
2026-01-02,CEATLTD,3782.6,3900.0,3774.0,3871.5,96144.0
2026-01-01,CEIGALL,274.45,274.45,267.75,271.7,439439.0
2026-01-02,CEIGALL,276.9,276.9,271.2,273.8,273080.0
2026-01-01,CELLO,541.0,544.75,538.0,540.95,38975.0
2026-01-02,CELLO,543.45,549.8,539.85,546.5,51297.0
2026-01-01,CEMPRO,790.1,792.0,769.1,770.55,178522.0
2026-01-02,CEMPRO,772.5,787.6,760.0,776.85,318472.0
2026-01-01,CENTRALBK,37.54,38.07,37.24,37.6,3995490.0
2026-01-02,CENTRALBK,37.64,38.89,37.64,38.84,10213887.0
2026-01-01,CENTURYPLY,824.0,831.65,820.15,826.25,18381.0
2026-01-02,CENTURYPLY,830.6,830.6,815.0,825.95,31098.0
2026-01-01,CERA,5277.0,5277.0,5211.5,5239.0,7796.0
2026-01-02,CERA,5245.0,5271.5,5186.0,5265.0,15019.0
2026-01-01,CESC,168.75,168.75,166.32,167.1,544829.0
2026-01-02,CESC,167.49,176.4,167.01,175.5,4478325.0
2026-01-01,CGCL,182.19,186.2,182.19,185.4,698046.0
2026-01-02,CGCL,186.09,187.65,183.99,185.31,624975.0
2026-01-01,CGPOWER,650.0,650.95,636.95,637.9,2758184.0
2026-01-02,CGPOWER,639.45,651.75,638.1,651.2,2274639.0
2026-01-01,CHALET,876.0,902.5,871.85,899.7,648535.0
2026-01-02,CHALET,899.0,914.0,891.05,899.95,297807.0
2026-01-01,CHAMBLFERT,485.0,486.3,476.15,480.25,384358.0
2026-01-02,CHAMBLFERT,478.5,481.5,476.0,480.0,492188.0
2026-01-01,CHENNPETRO,836.2,855.8,831.6,846.55,982826.0
2026-01-02,CHENNPETRO,845.0,849.0,825.1,830.0,674275.0
2026-01-01,CHOICEIN,840.3,843.35,833.15,838.2,399651.0
2026-01-02,CHOICEIN,839.9,852.4,835.1,848.0,532631.0
2026-01-01,CHOLAFIN,1707.1,1727.5,1698.7,1724.0,390859.0
2026-01-02,CHOLAFIN,1728.5,1789.1,1718.7,1779.0,1788314.0
2026-01-01,CHOLAHLDNG,1832.5,1886.0,1827.9,1878.6,329439.0
2026-01-02,CHOLAHLDNG,1883.8,1883.8,1844.0,1875.0,200334.0
2026-01-01,CIEINDIA,417.0,441.4,410.25,434.05,404784.0
2026-01-02,CIEINDIA,425.7,430.4,420.9,426.6,161753.0
2026-01-01,CIGNITITEC,1636.4,1644.4,1621.0,1631.0,15086.0
2026-01-02,CIGNITITEC,1631.0,1631.4,1605.2,1630.2,172469.0
2026-01-01,CIPLA,1512.0,1512.0,1499.0,1500.9,228078.0
2026-01-02,CIPLA,1500.9,1517.8,1498.6,1510.0,962446.0
2026-01-01,CLEAN,880.7,881.75,857.3,859.0,329674.0
2026-01-02,CLEAN,865.0,871.0,860.0,869.85,136599.0
2026-01-01,CMSINFO,342.4,353.7,338.5,352.2,246947.0
2026-01-02,CMSINFO,352.3,357.0,345.55,354.5,273708.0
2026-01-01,COALINDIA,399.0,402.8,398.25,400.45,3161157.0
2026-01-02,COALINDIA,401.35,429.5,401.0,429.5,34938747.0
2026-01-01,COCHINSHIP,1622.0,1634.0,1607.3,1622.6,312028.0
2026-01-02,COCHINSHIP,1622.6,1642.9,1619.4,1630.9,439495.0
2026-01-01,COFORGE,1670.0,1672.0,1651.9,1655.8,1009599.0
2026-01-02,COFORGE,1662.9,1662.9,1628.3,1652.0,2348748.0
2026-01-01,COHANCE,528.95,531.35,521.4,523.5,210029.0
2026-01-02,COHANCE,525.5,526.1,515.1,520.25,250238.0
2026-01-01,COLPAL,2086.1,2100.0,2079.1,2093.8,340463.0
2026-01-02,COLPAL,2105.0,2105.0,2080.3,2094.0,156465.0
2026-01-01,CONCOR,527.55,529.0,521.9,524.25,515680.0
2026-01-02,CONCOR,526.65,532.7,523.65,532.1,952690.0
2026-01-01,CONCORDBIO,1345.6,1355.7,1330.2,1336.3,20231.0
2026-01-02,CONCORDBIO,1339.6,1340.1,1302.0,1311.0,92219.0
2026-01-01,COROMANDEL,2281.7,2281.7,2243.3,2263.0,134704.0
2026-01-02,COROMANDEL,2269.9,2293.9,2261.1,2278.0,110324.0
2026-01-01,CRAFTSMAN,7600.0,7761.5,7459.0,7722.5,108494.0
2026-01-02,CRAFTSMAN,7701.0,8050.0,7617.0,8024.5,88245.0
2026-01-01,CREDITACC,1267.3,1280.0,1251.1,1259.1,274086.0
2026-01-02,CREDITACC,1261.6,1308.5,1259.0,1284.5,291358.0
2026-01-01,CRISIL,4320.0,4355.0,4291.4,4328.5,23193.0
2026-01-02,CRISIL,4310.0,4500.0,4279.6,4468.0,66086.0
2026-01-01,CROMPTON,252.3,254.15,248.3,249.25,1673462.0
2026-01-02,CROMPTON,250.0,255.9,247.9,252.2,7064492.0
2026-01-01,CSBBANK,459.1,488.8,451.25,483.9,1266211.0
2026-01-02,CSBBANK,482.05,489.9,473.3,485.0,892307.0
2026-01-01,CUB,289.3,290.5,286.05,289.0,1412527.0
2026-01-02,CUB,289.95,290.7,286.3,287.75,1508656.0
2026-01-01,CUMMINSIND,4439.0,4504.9,4420.3,4470.6,289174.0
2026-01-02,CUMMINSIND,4484.0,4493.4,4441.1,4490.1,268283.0
2026-01-01,CYIENT,1116.0,1120.9,1105.0,1109.1,157220.0
2026-01-02,CYIENT,1105.0,1114.0,1101.2,1107.4,135734.0
2026-01-01,CYIENTDLM,415.55,417.9,412.8,414.6,58809.0
2026-01-02,CYIENTDLM,414.75,417.7,413.9,415.9,54620.0
2026-01-01,DABUR,505.0,505.9,497.85,499.95,698247.0
2026-01-02,DABUR,501.45,526.35,499.0,525.4,5334467.0
2026-01-01,DALBHARAT,2145.3,2159.7,2109.8,2136.2,137763.0
2026-01-02,DALBHARAT,2108.8,2157.9,2108.8,2150.0,207974.0
2026-01-01,DATAMATICS,811.0,811.05,789.5,793.45,56773.0
2026-01-02,DATAMATICS,803.0,825.85,800.0,805.8,102851.0
2026-01-01,DATAPATTNS,2623.0,2633.1,2592.8,2601.2,82385.0
2026-01-02,DATAPATTNS,2601.0,2638.0,2596.2,2626.9,107262.0
2026-01-01,DBL,477.95,478.3,471.2,473.9,55750.0
2026-01-02,DBL,474.7,476.0,466.0,469.45,93253.0
2026-01-01,DBREALTY,118.4,119.5,116.93,117.7,404477.0
2026-01-02,DBREALTY,118.28,121.39,118.1,120.6,963121.0
2026-01-01,DCAL,248.8,259.0,247.96,256.48,181412.0
2026-01-02,DCAL,256.48,260.26,253.27,255.72,225232.0
2026-01-01,DCBBANK,172.5,177.47,171.04,175.89,772079.0
2026-01-02,DCBBANK,178.0,179.3,176.0,177.22,1329279.0
2026-01-01,DCMSHRIRAM,1261.0,1273.7,1248.1,1269.2,29816.0
2026-01-02,DCMSHRIRAM,1274.5,1304.7,1253.1,1257.4,75345.0
2026-01-01,DEEPAKFERT,1289.9,1297.0,1236.7,1243.5,570077.0
2026-01-02,DEEPAKFERT,1251.5,1274.8,1228.0,1256.1,663801.0
2026-01-01,DEEPAKNTR,1731.7,1737.5,1695.1,1701.3,66231.0
2026-01-02,DEEPAKNTR,1706.5,1717.8,1695.1,1708.0,52656.0
