date,ticker,shares,buy_price,buy_value
2017-02-28,DCBBANK,341,156.0,53196.0
2017-02-28,NFL,685,77.5999984741211,53155.99895477295
2017-02-28,NILKAMAL,27,1931.199951171875,52142.398681640625
2017-02-28,APTECHT,317,167.42857360839844,53074.857833862305
2017-02-28,HDFCBANK,153,347.5249938964844,53171.32406616211
2017-02-28,JINDALSTEL,424,125.44999694824219,53190.79870605469
2017-02-28,BAJAJFINSV,135,391.4150085449219,52841.02615356445
2017-02-28,CHENNPETRO,140,379.8500061035156,53179.00085449219
2017-02-28,YESBANK,183,290.5400085449219,53168.8215637207
2017-03-31,VIPIND,293,197.89999389648438,57984.69821166992
2017-03-31,DHANI,994,58.340843200683594,57990.79814147949
2017-03-31,RCF,709,81.75,57960.75
2017-03-31,BBTC,67,853.3499755859375,57174.44836425781
2017-03-31,DHAMPURSUG,267,216.85000610351562,57898.95162963867
2017-03-31,RECLTD,427,135.75,57965.25
2017-03-31,KEC,278,208.60000610351562,57990.801696777344
2017-03-31,FEDERALBNK,634,91.44999694824219,57979.29806518555
2017-03-31,EDELWEISS,680,85.23969268798828,57962.99102783203
2017-03-31,INDUSINDBK,40,1425.1500244140625,57006.0009765625
2017-03-31,NATCOPHARM,68,849.2000122070312,57745.600830078125
2017-03-31,BOMDYEING,699,83.0,58017.0
2017-03-31,RAIN,529,109.5999984741211,57978.39919281006
2017-04-28,PEL,42,1407.5325927734375,59116.368896484375
2017-04-28,BANKINDIA,318,186.8000030517578,59402.400970458984
2017-04-28,BEL,1072,55.43939208984375,59431.0283203125
2017-04-28,GICHSGFIN,118,500.8999938964844,59106.199279785156
2017-04-28,JAYBARMARU,499,119.05000305175781,59405.95152282715
2017-04-28,CANFINHOME,113,523.4500122070312,59149.85137939453
2017-04-28,SUNTV,64,921.75,58992.0
2017-04-28,JMFINANCIL,514,115.55000305175781,59392.701568603516
2017-04-28,ITI,516,115.1500015258789,59417.400787353516
2017-05-31,MARUTI,8,7211.0,57688.0
2017-05-31,LICHSGFIN,81,734.0999755859375,59462.09802246094
2017-05-31,AVANTIFEED,127,467.1833190917969,59332.2815246582
2017-05-31,SHAKTIPUMP,880,67.57499694824219,59465.997314453125
2017-05-31,KOTAKBANK,61,966.0499877929688,58929.049255371094
2017-05-31,SOUTHBANK,2113,28.149999618530273,59480.94919395447
2017-05-31,MOTILALOFS,57,1031.300048828125,58784.102783203125
2017-05-31,RAJESHEXPO,91,650.75,59218.25
2017-05-31,KEC,228,259.95001220703125,59268.602783203125
2017-05-31,OMAXE,296,200.5500030517578,59362.80090332031
2017-05-31,TVSMOTOR,110,538.2999877929688,59212.99865722656
2017-05-31,MOTHERSON,1087,54.710140228271484,59469.9224281311
2017-05-31,SAMMAANCAP,57,1034.5423583984375,58968.91442871094
2017-05-31,GODREJIND,98,604.5499877929688,59245.89880371094
2017-05-31,ADFFOODS,1085,54.779998779296875,59436.29867553711
2017-06-30,CEATLTD,33,1795.0,59235.0
2017-06-30,VENKEYS,35,1698.6500244140625,59452.75085449219
2017-06-30,LTF,452,134.2154541015625,60665.38525390625
2017-06-30,IIFL,184,328.7738342285156,60494.385498046875
2017-06-30,MEP,548,110.69999694824219,60663.59832763672
2017-06-30,PCBL,994,61.060001373291016,60693.64136505127
2017-06-30,BEPL,1346,45.06666564941406,60659.73196411133
2017-06-30,KARURVYSYA,594,102.12969207763672,60665.03709411621
2017-06-30,GOACARBON,234,258.75,60547.5
2017-07-31,MOTHERSON,1076,59.19696807861328,63695.93765258789
2017-07-31,GRAPHITE,309,205.9499969482422,63638.549057006836
2017-07-31,HINDUNILVR,55,1155.75,63566.25
2017-07-31,KEC,209,304.6000061035156,63661.401275634766
2017-07-31,JINDALSTEL,415,153.39999389648438,63660.997467041016
2017-07-31,BAJFINANCE,374,170.30999755859375,63695.93908691406
2017-07-31,NOCIL,441,144.39999389648438,63680.39730834961
2017-07-31,PRAKASH,517,123.11488342285156,63650.39472961426
2017-07-31,RELIANCE,172,369.2075500488281,63503.69860839844
2017-07-31,INDUSINDBK,38,1645.75,62538.5
2017-08-31,DWARKESH,980,66.44999694824219,65120.997009277344
2017-08-31,DBL,107,604.0499877929688,64633.348693847656
2017-08-31,HEG,472,137.82000732421875,65051.04345703125
2017-08-31,BOMDYEING,567,114.8499984741211,65119.94913482666
2017-08-31,PCBL,919,70.81500244140625,65078.987243652344
2017-08-31,GRASIM,54,1190.4664306640625,64285.187255859375
2017-08-31,EDELWEISS,487,133.64308166503906,65084.18077087402
2017-08-31,RAIN,457,142.39999389648438,65076.79721069336
2017-08-31,AVANTIFEED,105,615.816650390625,64660.748291015625
2017-09-29,MARUTI,8,7978.2001953125,63825.6015625
2017-09-29,FEL,1297,51.099998474121094,66276.69802093506
2017-09-29,BBTC,51,1286.9000244140625,65631.90124511719
2017-09-29,STLTECH,296,223.64999389648438,66200.39819335938
2017-09-29,JBMA,602,110.11000061035156,66286.22036743164
2017-09-29,HSCL,474,139.75,66241.5
2017-09-29,IGL,450,147.19000244140625,66235.50109863281
2017-09-29,MOTILALOFS,51,1286.699951171875,65621.69750976562
2017-09-29,TIRUMALCHM,449,147.5399932861328,66245.45698547363
2017-09-29,TVSMOTOR,100,657.0499877929688,65704.99877929688
2017-09-29,KEI,203,325.1000061035156,65995.30123901367
2017-10-31,SAREGAMA,1098,65.74176788330078,72184.46113586426
2017-10-31,DBL,84,853.0999755859375,71660.39794921875
2017-10-31,TATASTEEL,1076,67.05360412597656,72149.67803955078
2017-10-31,GUJALKALI,92,782.2000122070312,71962.40112304688
2017-10-31,BEPL,776,92.96666717529297,72142.13372802734
2017-10-31,V2RETAIL,140,513.7999877929688,71931.99829101562
2017-10-31,BATAINDIA,89,811.0999755859375,72187.89782714844
2017-10-31,GOACARBON,95,756.2000122070312,71839.00115966797
2017-10-31,RAIN,266,270.8500061035156,72046.10162353516
2017-10-31,AVANTIFEED,76,940.4833374023438,71476.73364257812
2017-11-30,UNOMINDA,355,206.2291259765625,73211.33972167969
2017-11-30,VIPIND,205,357.1499938964844,73215.7487487793
2017-11-30,BRITANNIA,30,2407.800048828125,72234.00146484375
2017-11-30,MIRCELECTR,1349,54.25,73183.25
2017-11-30,BFINVEST,186,393.3999938964844,73172.3988647461
2017-11-30,TATACONSUM,255,287.1000061035156,73210.50155639648
2017-11-30,INDIAGLYCO,325,225.125,73165.625
2017-12-29,MARUTI,9,9729.5498046875,87565.9482421875
2017-12-29,PURVA,568,167.14999389648438,94941.19653320312
2017-12-29,TIRUMALCHM,432,219.39500427246094,94778.64184570312
